iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,73,27,2,,232.0,900.3578779697418,,,,,,,,,
2,10.0,73,27,4,,377.0,900.5229380130768,,,,,,,,,
3,15.0,73,27,5,,544.0,900.1941299438477,,,,,,,,,
4,20.0,73,27,7,,659.0,900.0569880008698,,,,,,,,,
5,25.0,73,27,9,,747.0,900.5756487846375,,,,,,,,,
6,30.0,73,27,12,,811.0,900.0996840000153,,,,,,,,,
7,35.0,73,27,12,,866.0,900.4323399066925,,,,,,,,,
8,40.0,73,27,15,,919.0,900.5552470684052,,,,,,,,,
9,45.0,73,27,17,,963.0,900.5814681053162,,,,,,,,,
10,50.0,73,27,19,,994.0,900.1554479598999,,,,,,,,,
11,55.0,73,27,21,,1018.0,900.3476250171661,,,,,,,,,
12,60.0,73,27,23,,1032.0,900.3775389194489,,,,,,,,,
13,65.0,73,27,25,,1040.0,900.5555078983307,,,,,,,,,
14,70.0,73,27,26,,1052.0,900.1624948978424,,,,,,,,,
15,75.0,73,27,27,all_positive_profit_blocks,1056.0,900.3153400421143,,,,,,,,,
