iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,517,103,1,,9865.0,900.5036752223969,,,,,,,,,
2,10.0,517,103,3,,10217.0,910.3641500473022,,,,,,,,,
3,15.0,517,103,4,,10321.0,911.7364909648895,,,,,,,,,
4,20.0,517,103,6,,10504.0,916.2791001796722,,,,,,,,,
5,25.0,517,103,7,,10632.0,917.1100060939789,,,,,,,,,
6,30.0,517,103,9,,10712.0,918.3505702018738,,,,,,,,,
7,35.0,517,103,10,,10756.0,901.5713880062103,,,,,,,,,
8,40.0,517,103,12,,10808.0,903.478217124939,,,,,,,,,
9,45.0,517,103,14,,10844.0,900.4517688751221,,,,,,,,,
10,50.0,517,103,14,,10868.0,904.3757169246674,,,,,,,,,
11,55.0,517,103,15,,10900.0,905.1125159263611,,,,,,,,,
12,60.0,517,103,17,,10926.0,918.382730960846,,,,,,,,,
13,65.0,517,103,17,,10948.0,903.3010601997375,,,,,,,,,
14,70.0,517,103,19,,10974.0,900.8614099025726,,,,,,,,,
15,75.0,517,103,19,,10988.0,904.9851438999176,,,,,,,,,
16,80.0,517,103,21,,11016.0,902.2840001583099,,,,,,,,,
17,85.0,517,103,22,,11030.0,903.2891478538513,,,,,,,,,
18,90.0,517,103,23,,11033.0,900.0084249973297,,,,,,,,,
19,95.0,517,103,25,,11066.0,913.8979818820953,,,,,,,,,
20,100.0,517,103,26,,11082.0,901.7567439079285,,,,,,,,,
21,105.0,517,103,24,,11081.0,902.3037419319153,,,,,,,,,
22,110.0,517,103,25,,11092.0,902.4847750663757,,,,,,,,,
23,115.0,517,103,27,,11106.0,903.8955090045929,,,,,,,,,
24,120.0,517,103,29,,11121.0,917.0205700397491,,,,,,,,,
25,125.0,517,103,29,,11136.0,906.508073091507,,,,,,,,,
26,130.0,517,103,30,,11149.0,902.6534571647644,,,,,,,,,
27,135.0,517,103,31,,11162.0,910.251137971878,,,,,,,,,
28,140.0,517,103,32,,11161.0,911.5365631580353,,,,,,,,,
29,145.0,517,103,35,,11180.0,913.8035020828247,,,,,,,,,
30,150.0,517,103,34,,11191.0,909.7287549972534,,,,,,,,,
31,155.0,517,103,35,,11199.0,913.0414118766785,,,,,,,,,
32,160.0,517,103,37,,11204.0,911.8399829864502,,,,,,,,,
33,165.0,517,103,38,,11229.0,917.0449061393738,,,,,,,,,
34,170.0,517,103,41,,11244.0,912.6359491348267,,,,,,,,,
35,175.0,517,103,40,,11240.0,911.111958026886,,,,,,,,,
36,180.0,517,103,40,,11250.0,909.3454937934875,,,,,,,,,
37,185.0,517,103,42,,11266.0,910.6505868434906,,,,,,,,,
38,190.0,517,103,44,,11272.0,915.1645209789276,,,,,,,,,
39,195.0,517,103,45,,11272.0,902.2472658157349,,,,,,,,,
40,200.0,517,103,47,,11288.0,900.555734872818,,,,,,,,,
41,205.0,517,103,47,,11297.0,904.9665331840515,,,,,,,,,
42,210.0,517,103,49,,11304.0,905.9970309734344,,,,,,,,,
43,215.0,517,103,49,,11311.0,907.0679061412811,,,,,,,,,
44,220.0,517,103,51,,11310.0,900.7162108421326,,,,,,,,,
45,225.0,517,103,51,,11316.0,905.8565289974213,,,,,,,,,
46,230.0,517,103,51,,11327.0,903.5780260562897,,,,,,,,,
47,235.0,517,103,53,,11333.0,900.8213560581207,,,,,,,,,
48,240.0,517,103,54,,11333.0,902.9529061317444,,,,,,,,,
49,245.0,517,103,56,,11341.0,902.1067287921906,,,,,,,,,
50,250.0,517,103,54,,11345.0,916.3164598941803,,,,,,,,,
51,255.0,517,103,58,,11349.0,900.4447410106659,,,,,,,,,
52,260.0,517,103,57,,11355.0,902.3820159435272,,,,,,,,,
53,265.0,517,103,58,,11366.0,905.2995619773865,,,,,,,,,
54,270.0,517,103,61,,11365.0,902.5789239406586,,,,,,,,,
55,275.0,517,103,59,,11375.0,904.5604238510132,,,,,,,,,
56,280.0,517,103,61,,11372.0,917.3929278850555,,,,,,,,,
57,285.0,517,103,63,,11392.0,916.4002809524536,,,,,,,,,
58,290.0,517,103,62,,11383.0,902.0116801261902,,,,,,,,,
59,295.0,517,103,61,,11386.0,904.8522810935974,,,,,,,,,
60,300.0,517,103,67,,11396.0,901.8243339061737,,,,,,,,,
61,305.0,517,103,66,,11397.0,904.2476031780243,,,,,,,,,
62,310.0,517,103,64,,11400.0,900.8531692028046,,,,,,,,,
63,315.0,517,103,70,,11406.0,903.2536871433258,,,,,,,,,
64,320.0,517,103,66,,11411.0,900.8355050086975,,,,,,,,,
65,325.0,517,103,70,,11419.0,917.5202789306641,,,,,,,,,
66,330.0,517,103,70,,11416.0,901.0071001052856,,,,,,,,,
67,335.0,517,103,73,,11435.0,917.0899150371552,,,,,,,,,
68,340.0,517,103,74,,11425.0,900.5468671321869,,,,,,,,,
69,345.0,517,103,73,,11429.0,903.2397830486298,,,,,,,,,
70,350.0,517,103,76,,11435.0,900.1297500133514,,,,,,,,,
71,355.0,517,103,76,,11444.0,914.8126590251923,,,,,,,,,
72,360.0,517,103,76,,11442.0,911.5607190132141,,,,,,,,,
73,365.0,517,103,77,,11453.0,904.0505969524384,,,,,,,,,
74,370.0,517,103,78,,11445.0,913.6966888904572,,,,,,,,,
75,375.0,517,103,80,,11467.0,916.4966971874237,,,,,,,,,
76,380.0,517,103,78,,11453.0,913.9052810668945,,,,,,,,,
77,385.0,517,103,84,,11463.0,906.3366370201111,,,,,,,,,
78,390.0,517,103,81,,11466.0,907.4276468753815,,,,,,,,,
79,395.0,517,103,85,,11464.0,909.7137079238892,,,,,,,,,
80,400.0,517,103,85,,11466.0,911.8686430454254,,,,,,,,,
81,405.0,517,103,86,,11474.0,914.1880879402161,,,,,,,,,
82,410.0,517,103,85,,11467.0,913.2105369567871,,,,,,,,,
83,415.0,517,103,89,,11473.0,900.4412500858307,,,,,,,,,
84,420.0,517,103,87,,11470.0,911.159138917923,,,,,,,,,
85,425.0,517,103,89,,11480.0,912.5000510215759,,,,,,,,,
86,430.0,517,103,91,,11485.0,900.7397820949554,,,,,,,,,
87,435.0,517,103,90,,11486.0,912.6266739368439,,,,,,,,,
88,440.0,517,103,93,,11487.0,914.3114511966705,,,,,,,,,
89,445.0,517,103,90,,11493.0,911.7340888977051,,,,,,,,,
90,450.0,517,103,95,,11491.0,902.229278087616,,,,,,,,,
91,455.0,517,103,92,,11492.0,906.1411190032959,,,,,,,,,
92,460.0,517,103,100,,11488.0,906.831573009491,,,,,,,,,
93,465.0,517,103,97,,11505.0,901.1135737895966,,,,,,,,,
94,470.0,517,103,94,,11515.0,910.0645201206207,,,,,,,,,
95,475.0,517,103,98,,11518.0,901.3373329639435,,,,,,,,,
96,480.0,517,103,104,all_positive_profit_blocks,11529.0,916.0463759899139,,,,,,,,,
