iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,73,27,2,,208.0,900.5812501907349,,,,,,,,,
2,10.0,73,27,4,,345.0,900.5648460388184,,,,,,,,,
3,15.0,73,27,5,,484.0,900.4859299659729,,,,,,,,,
4,20.0,73,27,7,,586.0,900.6309080123901,,,,,,,,,
5,25.0,73,27,9,,670.0,900.0623610019684,,,,,,,,,
6,30.0,73,27,11,,727.0,900.2447578907013,,,,,,,,,
7,35.0,73,27,13,,783.0,900.2508919239044,,,,,,,,,
8,40.0,73,27,15,,822.0,900.3611879348755,,,,,,,,,
9,45.0,73,27,17,,858.0,900.584921836853,,,,,,,,,
10,50.0,73,27,19,,889.0,900.063570022583,,,,,,,,,
11,55.0,73,27,21,,909.0,900.0268099308014,,,,,,,,,
12,60.0,73,27,24,,927.0,900.4987208843231,,,,,,,,,
13,65.0,73,27,25,,931.0,900.3407521247864,,,,,,,,,
14,70.0,73,27,26,,943.0,900.3339509963989,,,,,,,,,
15,75.0,73,27,27,all_positive_profit_blocks,947.0,900.2450170516968,,,,,,,,,
