iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,73,27,2,,208.0,900.0144050121307,,,,,,,,,
2,10.0,73,27,4,,345.0,900.1111431121826,,,,,,,,,
3,15.0,73,27,5,,476.0,900.4285869598389,,,,,,,,,
4,20.0,73,27,7,,578.0,900.2737410068512,,,,,,,,,
5,25.0,73,27,9,,662.0,900.216521024704,,,,,,,,,
6,30.0,73,27,11,,719.0,900.4613308906555,,,,,,,,,
7,35.0,73,27,13,,775.0,900.3875179290771,,,,,,,,,
8,40.0,73,27,15,,814.0,900.0545959472656,,,,,,,,,
9,45.0,73,27,17,,850.0,900.4441459178925,,,,,,,,,
10,50.0,73,27,19,,881.0,900.342288017273,,,,,,,,,
11,55.0,73,27,21,,903.0,900.5650000572205,,,,,,,,,
12,60.0,73,27,23,,915.0,900.2510488033295,,,,,,,,,
13,65.0,73,27,24,,927.0,900.0539009571075,,,,,,,,,
14,70.0,73,27,26,,935.0,900.5040409564972,,,,,,,,,
15,75.0,73,27,27,all_positive_profit_blocks,939.0,900.031012058258,,,,,,,,,
