iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,45,45,1,,408.0,120.24203300476074,,,,,,,,,
2,10.0,45,45,3,,464.0,120.16619396209717,,,,,,,,,
3,15.0,45,45,4,,524.0,120.16861987113953,,,,,,,,,
4,20.0,45,45,5,,585.0,120.20162200927734,,,,,,,,,
5,25.0,45,45,6,,620.0,120.21208190917969,,,,,,,,,
6,30.0,45,45,8,,652.0,120.03613781929016,,,,,,,,,
7,35.0,45,45,10,,680.0,120.21049904823303,,,,,,,,,
8,40.0,45,45,11,,703.0,120.20659685134888,,,,,,,,,
9,45.0,45,45,12,,719.0,120.1861891746521,,,,,,,,,
10,50.0,45,45,15,,743.0,120.15568494796753,,,,,,,,,
11,55.0,45,45,16,,759.0,120.08704805374146,,,,,,,,,
12,60.0,45,45,18,,774.0,120.01201510429382,,,,,,,,,
13,65.0,45,45,20,,787.0,120.217444896698,,,,,,,,,
14,70.0,45,45,22,,803.0,120.11210107803345,,,,,,,,,
15,75.0,45,45,24,,812.0,120.0878279209137,,,,,,,,,
16,80.0,45,45,26,,821.0,120.25917601585388,,,,,,,,,
17,85.0,45,45,27,,827.0,120.0103919506073,,,,,,,,,
18,90.0,45,45,30,,839.0,120.13595819473267,,,,,,,,,
19,95.0,45,45,31,,843.0,120.13383197784424,,,,,,,,,
20,100.0,45,45,32,,847.0,120.25258302688599,,,,,,,,,
21,105.0,45,45,35,,859.0,120.18200087547302,,,,,,,,,
22,110.0,45,45,36,,863.0,120.00378894805908,,,,,,,,,
23,115.0,45,45,38,,871.0,120.26951384544373,,,,,,,,,
24,120.0,45,45,40,,879.0,120.20712304115295,,,,,,,,,
25,125.0,45,45,41,,883.0,120.25565791130066,,,,,,,,,
26,130.0,45,45,42,,887.0,120.14254593849182,,,,,,,,,
27,135.0,45,45,44,,895.0,120.11756706237793,,,,,,,,,
28,140.0,45,45,45,all_positive_profit_blocks,899.0,120.0433669090271,,,,,,,,,
