iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,114,28,2,,208.00,0.829113917,0.0,140,1.3707420825958252,,
2,10.0,114,28,3,,364.00,269.734473027,0.0,52393,0.05527806282043457,,
3,15.0,114,28,6,,481.00,600.001668895,0.02967013773990352,231065,0.07481813430786133,,
4,20.0,114,28,7,,582.00,600.001126773,0.012905985785776066,150948,0.1286020278930664,,
5,25.0,114,28,9,,666.00,600.001079256,0.005847839804524068,146077,0.06865715980529785,,
6,30.0,114,28,12,,723.00,600.001821706,0.018257560415134436,154047,0.04009699821472168,,
7,35.0,114,28,14,,777.00,600.001748326,0.01002225546876528,122244,0.12096500396728516,,
8,40.0,114,28,16,,816.00,600.005572001,0.014399104185324916,142025,0.10494112968444824,,
9,45.0,114,28,18,,856.00,600.00162635,0.009637118196633432,137071,0.11490297317504883,,
10,50.0,114,28,20,,888.00,600.001971085,0.008459301528299842,149238,0.10349202156066895,,
11,55.0,114,28,22,,911.00,600.001674597,0.006825732728680846,142906,0.08259201049804688,,
12,60.0,114,28,24,,928.00,600.002138656,0.002831848917805858,103880,0.11211490631103516,,
13,65.0,114,28,25,,937.00,600.001416094,0.0038949897300222173,130392,0.06334996223449707,,
14,70.0,114,28,27,,948.00,276.534219944,0.0,60493,0.0693209171295166,,
15,75.0,114,28,28,all_positive_profit_blocks,952.00,35.935365969,0.0,10876,0.025349140167236328,,
