iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,88,26,2,,208.00,0.249994991,0.0,8,0.5865280628204346,,
2,10.0,88,26,3,,364.00,222.000897919,0.0,98093,0.033149003982543945,,
3,15.0,88,26,6,,475.00,600.001205327,0.013155143540667298,123255,0.02648305892944336,,
4,20.0,88,26,8,,551.00,600.00127359,0.019778348237184197,129967,0.09311199188232422,,
5,25.0,88,26,10,,622.00,600.001154846,0.01229286040836234,110814,0.06670498847961426,,
6,30.0,88,26,12,,672.00,285.638565197,0.0,69799,0.020448923110961914,,
7,35.0,88,26,15,,708.00,600.001207568,0.007106834579526881,115056,0.05610990524291992,,
8,40.0,88,26,16,,737.00,600.001933337,0.014715962422564581,140869,0.06713008880615234,,
9,45.0,88,26,18,,768.00,600.001103135,0.01228564931235046,106979,0.020952939987182617,,
10,50.0,88,26,21,,792.00,600.001288505,0.0068317885428408045,142522,0.11851811408996582,,
11,55.0,88,26,22,,808.00,600.001313608,0.004999233585167188,105530,0.09310603141784668,,
12,60.0,88,26,24,,816.00,600.001790014,0.006926746659361346,115719,0.01976799964904785,,
13,65.0,88,26,24,,824.00,600.001246585,0.004854368932038797,37492,0.10335111618041992,,
14,70.0,88,26,26,all_positive_profit_blocks,832.00,29.331945427,0.0,9186,0.022361040115356445,,
