iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,27,27,2,,212.00,0.339374372,0.0,0,0.347454686,0.311751738,6,0.958278457,,,
2,10.0,27,27,4,,357.00,600.011044219,0.05322128851539428,32807,0.979011802,11.447558878,1406,cached,,,
3,15.0,27,27,5,,508.00,600.004118518,0.01049354341451377,17209,0.635903068,5.438514069,528,cached,,,
4,20.0,27,27,7,,614.00,600.029133449,0.027751653054517548,14884,1.020906657,32.669267391,1938,cached,,,
5,25.0,27,27,9,,686.00,600.082009402,0.03217750192647029,10700,0.695246935,32.56678941,1374,cached,,,
6,30.0,27,27,11,,755.00,600.866730572,0.019286979824540668,11200,1.71928993,5.418622884,137,cached,,,
7,35.0,27,27,13,,803.00,600.052198214,0.03277700400272103,2271,1.567969532,25.416014831,1052,cached,,,
8,40.0,27,27,15,,857.00,600.2453371,0.017502917152856765,500,1.331316194,40.792334432,1524,cached,,,
9,45.0,27,27,16,,688.00,600.199506976,0.31885923119637827,37,3.44886819,227.022520206,4134,cached,,,
10,50.0,27,27,10,,457.00,600.261199622,1.049667665137127,12,10.003340537,178.977544359,1319,cached,,,
11,55.0,27,27,13,,501.00,600.130907462,0.9049578493248315,563,4.850237642,114.763433784,1192,cached,,,
12,60.0,27,27,24,,962.00,600.06956232,0.0019031338694810275,1149,2.107301922,61.301086347,673,cached,,,
13,65.0,27,27,0,error,,,,,,,,,,,Result index of attribute MathOptInterface.ObjectiveValue(1) out of bounds. There are currently 0 solution(s) in the model.
