iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,152,26,1,,64.0,903.4267358779907,,,,,,,,,
2,10.0,152,26,3,,88.0,900.9408481121063,,,,,,,,,
3,15.0,152,26,4,,114.0,900.0427350997925,,,,,,,,,
4,20.0,152,26,6,,138.0,901.1216719150543,,,,,,,,,
5,25.0,152,26,7,,156.0,903.9779300689697,,,,,,,,,
6,30.0,152,26,10,,174.0,904.5112278461456,,,,,,,,,
7,35.0,152,26,12,,186.0,901.0625250339508,,,,,,,,,
8,40.0,152,26,13,,192.0,903.0728640556335,,,,,,,,,
9,45.0,152,26,15,,201.0,903.020889043808,,,,,,,,,
10,50.0,152,26,17,,209.0,900.8319840431213,,,,,,,,,
11,55.0,152,26,18,,213.0,903.1264140605927,,,,,,,,,
12,60.0,152,26,20,,221.0,902.4425270557404,,,,,,,,,
13,65.0,152,26,21,,225.0,903.8810040950775,,,,,,,,,
14,70.0,152,26,23,,233.0,903.7362179756165,,,,,,,,,
15,75.0,152,26,24,,237.0,901.8519780635834,,,,,,,,,
16,80.0,152,26,25,,241.0,902.1612730026245,,,,,,,,,
17,85.0,152,26,26,all_positive_profit_blocks,245.0,902.8811612129211,,,,,,,,,
