iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,114,28,2,,208.00,0.529372835,0.0,140,0.8619921207427979,,
2,10.0,114,28,3,,364.00,170.5108599,0.0,52393,0.05336904525756836,,
3,15.0,114,28,5,,476.00,600.006654067,0.04330754460925689,178904,0.03711509704589844,,
4,20.0,114,28,7,,582.00,600.003786768,0.013195288955683254,144425,0.16852092742919922,,
5,25.0,114,28,9,,666.00,600.003420127,0.00442149925354004,169774,0.056935787200927734,,
6,30.0,114,28,12,,723.00,600.0017682,0.018489885739977174,142207,0.05232501029968262,,
7,35.0,114,28,14,,777.00,600.002827551,0.010188598038714015,115930,0.05324697494506836,,
8,40.0,114,28,16,,816.00,600.00098142,0.014326648209882113,148651,0.0699009895324707,,
9,45.0,114,28,18,,856.00,600.003378937,0.00960565779037136,139945,0.08440804481506348,,
10,50.0,114,28,20,,888.00,600.003389089,0.008542053553501043,138925,0.0789179801940918,,
11,55.0,114,28,22,,911.00,600.001397399,0.00682371333127354,143356,0.07892990112304688,,
12,60.0,114,28,24,,928.00,600.001009422,0.002819893213829604,106792,0.07444286346435547,,
13,65.0,114,28,26,,936.00,600.000900181,0.0049689762138525,130189,0.057576894760131836,,
14,70.0,114,28,27,,948.00,283.472015429,0.0,60493,0.06675505638122559,,
15,75.0,114,28,28,all_positive_profit_blocks,952.00,47.767475933,0.0,10876,0.03049492835998535,,
