iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,114,28,2,,208.00,0.595259848,0.0,140,0.9805009365081787,,
2,10.0,114,28,3,,364.00,215.782792246,0.0,52393,0.04371213912963867,,
3,15.0,114,28,6,,481.00,600.006485176,0.030513575756347593,214404,0.08221316337585449,,
4,20.0,114,28,7,,582.00,600.00161544,0.015058940640659059,111494,0.18787503242492676,,
5,25.0,114,28,9,,666.00,600.002436413,0.005666026502303461,149271,0.08768892288208008,,
6,30.0,114,28,12,,723.00,600.001415442,0.018391341372971118,147338,0.058177947998046875,,
7,35.0,114,28,14,,777.00,600.001316763,0.010116002406424698,118388,0.07763195037841797,,
8,40.0,114,28,16,,822.00,600.008763537,0.00687084792662961,149625,0.0755929946899414,,
9,45.0,114,28,18,,856.00,600.001803055,0.009789482987626752,123882,0.0743720531463623,,
10,50.0,114,28,20,,888.00,600.001402283,0.00842073325206212,154464,0.10977506637573242,,
11,55.0,114,28,22,,911.00,600.0014783,0.006793884796529358,147867,0.09030795097351074,,
12,60.0,114,28,24,,928.00,600.001261338,0.0028393815811153925,101714,0.09004712104797363,,
13,65.0,114,28,26,,936.00,600.001085388,0.00496456409690014,131810,0.06078195571899414,,
14,70.0,114,28,27,,948.00,282.673323096,0.0,60493,0.06461620330810547,,
15,75.0,114,28,28,all_positive_profit_blocks,952.00,41.45527902,0.0,10876,0.027765989303588867,,
