iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,152,26,1,,72.0,900.2547438144684,,,,,,,,,
2,10.0,152,26,3,,96.0,901.3746988773346,,,,,,,,,
3,15.0,152,26,4,,122.0,902.3158581256866,,,,,,,,,
4,20.0,152,26,6,,146.0,902.755872964859,,,,,,,,,
5,25.0,152,26,7,,164.0,902.1088750362396,,,,,,,,,
6,30.0,152,26,10,,182.0,900.6950981616974,,,,,,,,,
7,35.0,152,26,12,,194.0,901.2602651119232,,,,,,,,,
8,40.0,152,26,13,,200.0,901.5824100971222,,,,,,,,,
9,45.0,152,26,15,,209.0,901.7301950454712,,,,,,,,,
10,50.0,152,26,17,,217.0,902.6097099781036,,,,,,,,,
11,55.0,152,26,18,,221.0,901.7444100379944,,,,,,,,,
12,60.0,152,26,20,,229.0,900.1912660598755,,,,,,,,,
13,65.0,152,26,21,,233.0,900.0033822059631,,,,,,,,,
14,70.0,152,26,23,,241.0,900.2013669013977,,,,,,,,,
15,75.0,152,26,24,,245.0,902.96093916893,,,,,,,,,
16,80.0,152,26,25,,249.0,900.0762300491333,,,,,,,,,
17,85.0,152,26,26,all_positive_profit_blocks,253.0,901.7709860801697,,,,,,,,,
