iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,88,26,2,,208.00,0.239253552,0.0,8,0.5830130577087402,,
2,10.0,88,26,3,,364.00,118.263712561,0.0,98093,0.03221607208251953,,
3,15.0,88,26,6,,475.00,400.200732622,0.0,225290,0.01116800308227539,,
4,20.0,88,26,8,,551.00,600.000502684,0.01467548017048411,305464,0.022029876708984375,,
5,25.0,88,26,10,,622.00,600.000604619,0.009487319814736517,262542,0.05463385581970215,,
6,30.0,88,26,12,,672.00,117.84492479,0.0,69799,0.010303974151611328,,
7,35.0,88,26,15,,708.00,600.000597871,0.005344480230896443,238604,0.040266990661621094,,
8,40.0,88,26,16,,737.00,600.000636655,0.013815877997248574,292207,0.05410504341125488,,
9,45.0,88,26,18,,768.00,600.000543424,0.011315754348210756,238319,0.010785102844238281,,
10,50.0,88,26,21,,792.00,600.000709474,0.006167622374903573,299362,0.15729403495788574,,
11,55.0,88,26,22,,808.00,600.000615697,0.004698840095862433,237649,0.09422492980957031,,
12,60.0,88,26,23,,820.00,434.298278314,0.0,186330,0.010133981704711914,,
13,65.0,88,26,25,,828.00,444.938120173,0.0,57057,0.05950808525085449,,
14,70.0,88,26,26,all_positive_profit_blocks,832.00,22.53331553,0.0,9186,0.07445120811462402,,
