iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,40,40,1,,1360.0,120.10798215866089,,,,,,,,,
2,10.0,40,40,3,,1424.0,120.16597414016724,,,,,,,,,
3,15.0,40,40,5,,1469.0,120.07192015647888,,,,,,,,,
4,20.0,40,40,6,,1494.0,120.07003498077393,,,,,,,,,
5,25.0,40,40,8,,1509.0,120.10140490531921,,,,,,,,,
6,30.0,40,40,8,,1520.0,120.01114678382874,,,,,,,,,
7,35.0,40,40,10,,1536.0,120.08962297439575,,,,,,,,,
8,40.0,40,40,12,,1549.0,120.00054597854614,,,,,,,,,
9,45.0,40,40,15,,1559.0,120.10592007637024,,,,,,,,,
10,50.0,40,40,16,,1568.0,120.01411700248718,,,,,,,,,
11,55.0,40,40,18,,1576.0,120.05272603034973,,,,,,,,,
12,60.0,40,40,19,,1583.0,120.07683897018433,,,,,,,,,
13,65.0,40,40,21,,1591.0,120.00554609298706,,,,,,,,,
14,70.0,40,40,23,,1599.0,120.03269720077515,,,,,,,,,
15,75.0,40,40,24,,1605.0,120.07705116271973,,,,,,,,,
16,80.0,40,40,26,,1611.0,120.22508406639099,,,,,,,,,
17,85.0,40,40,28,,1622.0,120.04795408248901,,,,,,,,,
18,90.0,40,40,30,,1630.0,120.08095407485962,,,,,,,,,
19,95.0,40,40,31,,1636.0,120.02383804321289,,,,,,,,,
20,100.0,40,40,33,,1642.0,120.0297520160675,,,,,,,,,
21,105.0,40,40,35,,1650.0,120.09771800041199,,,,,,,,,
22,110.0,40,40,36,,1657.0,120.04049706459045,,,,,,,,,
23,115.0,40,40,37,,1661.0,120.02145600318909,,,,,,,,,
24,120.0,40,40,39,,1668.0,120.08049297332764,,,,,,,,,
25,125.0,40,40,39,,1669.0,120.12914109230042,,,,,,,,,
26,130.0,40,40,40,all_positive_profit_blocks,1673.0,120.1260678768158,,,,,,,,,
