iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,114,28,2,,208.00,1.948868137,0.0,520,1.5002508163452148,,
2,10.0,114,28,3,,380.00,260.850733288,0.0,36093,0.06402897834777832,,
3,15.0,114,28,6,,505.00,600.003804016,0.01725583845010448,210985,0.05705714225769043,,
4,20.0,114,28,7,,606.00,600.001264586,0.013270765519445454,161801,0.09751510620117188,,
5,25.0,114,28,9,,690.00,600.001971182,0.005593742162666937,148958,0.08705997467041016,,
6,30.0,114,28,12,,751.00,600.001036551,0.015492815251635133,131352,0.04990100860595703,,
7,35.0,114,28,14,,808.00,600.002151303,0.009677239913011547,131859,0.07267498970031738,,
8,40.0,114,28,17,,857.00,553.252030069,0.0,117448,0.08871793746948242,,
9,45.0,114,28,18,,892.00,600.001425447,0.008904835146844172,120193,0.044332027435302734,,
10,50.0,114,28,20,,924.00,600.001443308,0.008467382793487153,148864,0.09561395645141602,,
11,55.0,114,28,22,,949.00,600.006079826,0.0038488713659293153,134643,0.05736589431762695,,
12,60.0,114,28,24,,964.00,600.00118886,0.002966897319688531,134648,0.08810305595397949,,
13,65.0,114,28,25,,973.00,600.001028401,0.003671061938676845,120033,0.06370806694030762,,
14,70.0,114,28,27,,984.00,141.053518618,0.0,37591,0.03986191749572754,,
15,75.0,114,28,28,all_positive_profit_blocks,988.00,150.99530464,0.0,39693,0.030969858169555664,,
