iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,64,64,1,,3690.0,120.29229688644409,,,,,,,,,
2,10.0,64,64,3,,3778.0,120.14458394050598,,,,,,,,,
3,15.0,64,64,5,,3836.0,120.51289582252502,,,,,,,,,
4,20.0,64,64,6,,3877.0,120.59744906425476,,,,,,,,,
5,25.0,64,64,7,,3911.0,120.46736288070679,,,,,,,,,
6,30.0,64,64,9,,3943.0,120.43580389022827,,,,,,,,,
7,35.0,64,64,12,,3970.0,120.18532204627991,,,,,,,,,
8,40.0,64,64,13,,3985.0,120.4968330860138,,,,,,,,,
9,45.0,64,64,15,,4004.0,120.44882798194885,,,,,,,,,
10,50.0,64,64,17,,4021.0,120.03106999397278,,,,,,,,,
11,55.0,64,64,17,,4032.0,120.58611798286438,,,,,,,,,
12,60.0,64,64,19,,4047.0,120.37669897079468,,,,,,,,,
13,65.0,64,64,21,,4063.0,120.3944640159607,,,,,,,,,
14,70.0,64,64,22,,4074.0,120.02508592605591,,,,,,,,,
15,75.0,64,64,24,,4087.0,120.37590408325195,,,,,,,,,
16,80.0,64,64,25,,4097.0,120.03570103645325,,,,,,,,,
17,85.0,64,64,27,,4106.0,120.10493683815002,,,,,,,,,
18,90.0,64,64,28,,4114.0,120.18360090255737,,,,,,,,,
19,95.0,64,64,30,,4124.0,120.06917190551758,,,,,,,,,
20,100.0,64,64,31,,4132.0,120.45995807647705,,,,,,,,,
21,105.0,64,64,33,,4140.0,120.18284296989441,,,,,,,,,
22,110.0,64,64,34,,4146.0,120.3053789138794,,,,,,,,,
23,115.0,64,64,36,,4156.0,120.46280312538147,,,,,,,,,
24,120.0,64,64,38,,4166.0,120.4068009853363,,,,,,,,,
25,125.0,64,64,39,,4168.0,120.3129370212555,,,,,,,,,
26,130.0,64,64,42,,4180.0,120.43477082252502,,,,,,,,,
27,135.0,64,64,40,,4185.0,120.40915703773499,,,,,,,,,
28,140.0,64,64,43,,4195.0,120.00051999092102,,,,,,,,,
29,145.0,64,64,43,,4198.0,121.42443799972534,,,,,,,,,
30,150.0,64,64,44,,4204.0,120.2394630908966,,,,,,,,,
31,155.0,64,64,47,,4216.0,120.05885004997253,,,,,,,,,
32,160.0,64,64,49,,4223.0,120.24493312835693,,,,,,,,,
33,165.0,64,64,50,,4228.0,120.001540184021,,,,,,,,,
34,170.0,64,64,52,,4236.0,120.16798901557922,,,,,,,,,
35,175.0,64,64,54,,4244.0,120.14343786239624,,,,,,,,,
36,180.0,64,64,55,,4248.0,120.03627705574036,,,,,,,,,
37,185.0,64,64,56,,4252.0,120.0570068359375,,,,,,,,,
38,190.0,64,64,58,,4260.0,120.01646900177002,,,,,,,,,
39,195.0,64,64,60,,4270.0,120.19203209877014,,,,,,,,,
40,200.0,64,64,61,,4274.0,120.12201499938965,,,,,,,,,
41,205.0,64,64,62,,4279.0,120.08497285842896,,,,,,,,,
42,210.0,64,64,63,,4284.0,120.00526690483093,,,,,,,,,
43,215.0,64,64,64,all_positive_profit_blocks,4288.0,120.20562219619751,,,,,,,,,
