iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,73,27,2,,208.00,0.334878694,0.0,95,0.7258930206298828,,
2,10.0,73,27,3,,336.00,600.001928235,0.07587702273510466,460476,0.009789228439331055,,
3,15.0,73,27,5,,469.00,600.001287575,0.0714982359176638,334022,0.1676480770111084,,
4,20.0,73,27,7,,586.00,600.000510743,0.01401734878338014,269118,0.010051965713500977,,
5,25.0,73,27,9,,670.00,275.280687207,0.0,159173,0.09595513343811035,,
6,30.0,73,27,11,,727.00,600.000629901,0.014365743155804193,264050,0.020967960357666016,,
7,35.0,73,27,13,,777.00,600.001840651,0.018019884311855174,263488,0.009580135345458984,,
8,40.0,73,27,15,,822.00,600.001643856,0.016984065342942067,220108,0.14434194564819336,,
9,45.0,73,27,17,,858.00,600.001891433,0.013555125948975726,184192,0.009006977081298828,,
10,50.0,73,27,19,,889.00,600.000552539,0.01174720568781251,187417,0.10990190505981445,,
11,55.0,73,27,21,,911.00,600.001746927,0.008124823717460606,213696,0.009423017501831055,,
12,60.0,73,27,24,,927.00,600.003376556,0.002165796640013518,206592,0.1163167953491211,,
13,65.0,73,27,24,,935.00,600.0009481,0.0042780748663097026,199056,0.014348983764648438,,
14,70.0,73,27,26,,943.00,600.00044129,0.004241781548249815,184550,0.08082294464111328,,
15,75.0,73,27,27,all_positive_profit_blocks,947.00,3.854670881,0.0,1796,0.00835108757019043,,
