iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,103,103,1,,9865.0,120.74580383300781,,,,,,,,,
2,10.0,103,103,3,,10217.0,120.04227185249329,,,,,,,,,
3,15.0,103,103,4,,10321.0,121.83119606971741,,,,,,,,,
4,20.0,103,103,6,,10504.0,121.21311497688293,,,,,,,,,
5,25.0,103,103,7,,10632.0,122.47621417045593,,,,,,,,,
6,30.0,103,103,9,,10716.0,121.00426888465881,,,,,,,,,
7,35.0,103,103,11,,10772.0,121.04097509384155,,,,,,,,,
8,40.0,103,103,13,,10812.0,121.39101195335388,,,,,,,,,
9,45.0,103,103,14,,10844.0,120.36167621612549,,,,,,,,,
10,50.0,103,103,16,,10886.0,122.09262990951538,,,,,,,,,
11,55.0,103,103,16,,10916.0,121.72738099098206,,,,,,,,,
12,60.0,103,103,17,,10932.0,121.7288670539856,,,,,,,,,
13,65.0,103,103,19,,10960.0,120.19030499458313,,,,,,,,,
14,70.0,103,103,20,,10990.0,121.34446215629578,,,,,,,,,
15,75.0,103,103,21,,11012.0,120.86392283439636,,,,,,,,,
16,80.0,103,103,22,,11031.0,120.59776902198792,,,,,,,,,
17,85.0,103,103,23,,11050.0,120.1969301700592,,,,,,,,,
18,90.0,103,103,25,,11077.0,121.17247605323792,,,,,,,,,
19,95.0,103,103,27,,11095.0,121.73803400993347,,,,,,,,,
20,100.0,103,103,29,,11114.0,120.52599310874939,,,,,,,,,
21,105.0,103,103,30,,11130.0,121.34435391426086,,,,,,,,,
22,110.0,103,103,33,,11155.0,120.36304688453674,,,,,,,,,
23,115.0,103,103,34,,11172.0,120.50945401191711,,,,,,,,,
24,120.0,103,103,36,,11185.0,120.52512216567993,,,,,,,,,
25,125.0,103,103,35,,11200.0,121.23672008514404,,,,,,,,,
26,130.0,103,103,36,,11210.0,120.51834893226624,,,,,,,,,
27,135.0,103,103,39,,11238.0,120.1777241230011,,,,,,,,,
28,140.0,103,103,40,,11248.0,120.25611805915833,,,,,,,,,
29,145.0,103,103,42,,11260.0,120.24328517913818,,,,,,,,,
30,150.0,103,103,44,,11278.0,120.68198609352112,,,,,,,,,
31,155.0,103,103,45,,11292.0,120.533203125,,,,,,,,,
32,160.0,103,103,47,,11303.0,120.26603484153748,,,,,,,,,
33,165.0,103,103,48,,11310.0,120.22001791000366,,,,,,,,,
34,170.0,103,103,49,,11326.0,120.28608584403992,,,,,,,,,
35,175.0,103,103,51,,11341.0,120.49464797973633,,,,,,,,,
36,180.0,103,103,54,,11352.0,120.57000994682312,,,,,,,,,
37,185.0,103,103,55,,11360.0,120.12020516395569,,,,,,,,,
38,190.0,103,103,57,,11372.0,120.47202515602112,,,,,,,,,
39,195.0,103,103,57,,11373.0,120.26757788658142,,,,,,,,,
40,200.0,103,103,61,,11395.0,120.01203799247742,,,,,,,,,
41,205.0,103,103,61,,11396.0,120.58673810958862,,,,,,,,,
42,210.0,103,103,63,,11407.0,120.21866106987,,,,,,,,,
43,215.0,103,103,66,,11416.0,120.35351920127869,,,,,,,,,
44,220.0,103,103,66,,11419.0,120.21975803375244,,,,,,,,,
45,225.0,103,103,69,max_iterations,11432.0,120.49010992050171,,,,,,,,,
