iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,98,98,1,,9255.0,122.15595197677612,,,,,,,,,
2,10.0,98,98,3,,9607.0,121.2309820652008,,,,,,,,,
3,15.0,98,98,4,,9703.0,121.17548704147339,,,,,,,,,
4,20.0,98,98,6,,9880.0,120.12103796005249,,,,,,,,,
5,25.0,98,98,7,,10000.0,121.40980410575867,,,,,,,,,
6,30.0,98,98,9,,10076.0,120.38829302787781,,,,,,,,,
7,35.0,98,98,11,,10136.0,120.0428318977356,,,,,,,,,
8,40.0,98,98,12,,10172.0,121.54110813140869,,,,,,,,,
9,45.0,98,98,15,,10218.0,120.9852409362793,,,,,,,,,
10,50.0,98,98,16,,10237.0,120.4845860004425,,,,,,,,,
11,55.0,98,98,16,,10264.0,120.58642721176147,,,,,,,,,
12,60.0,98,98,18,,10286.0,120.71210598945618,,,,,,,,,
13,65.0,98,98,19,,10314.0,121.5796148777008,,,,,,,,,
14,70.0,98,98,20,,10334.0,120.66767692565918,,,,,,,,,
15,75.0,98,98,21,,10358.0,121.48435711860657,,,,,,,,,
16,80.0,98,98,23,,10381.0,120.91571879386902,,,,,,,,,
17,85.0,98,98,25,,10400.0,120.19326210021973,,,,,,,,,
18,90.0,98,98,27,,10423.0,121.19003701210022,,,,,,,,,
19,95.0,98,98,27,,10434.0,120.14684891700745,,,,,,,,,
20,100.0,98,98,29,,10447.0,120.6563081741333,,,,,,,,,
21,105.0,98,98,31,,10470.0,121.12778210639954,,,,,,,,,
22,110.0,98,98,33,,10485.0,120.98961901664734,,,,,,,,,
23,115.0,98,98,35,,10506.0,120.74612402915955,,,,,,,,,
24,120.0,98,98,37,,10517.0,120.80088210105896,,,,,,,,,
25,125.0,98,98,36,,10531.0,120.38427901268005,,,,,,,,,
26,130.0,98,98,38,,10549.0,121.08054709434509,,,,,,,,,
27,135.0,98,98,40,,10567.0,120.0332841873169,,,,,,,,,
28,140.0,98,98,40,,10572.0,120.92832589149475,,,,,,,,,
29,145.0,98,98,43,,10589.0,120.13097310066223,,,,,,,,,
30,150.0,98,98,44,,10603.0,120.83938002586365,,,,,,,,,
31,155.0,98,98,46,,10619.0,120.75773215293884,,,,,,,,,
32,160.0,98,98,47,,10629.0,120.90194010734558,,,,,,,,,
33,165.0,98,98,48,,10638.0,120.61103200912476,,,,,,,,,
34,170.0,98,98,49,,10649.0,120.17853283882141,,,,,,,,,
35,175.0,98,98,52,,10667.0,120.09802007675171,,,,,,,,,
36,180.0,98,98,53,,10680.0,120.62106490135193,,,,,,,,,
37,185.0,98,98,55,,10689.0,120.05461597442627,,,,,,,,,
38,190.0,98,98,58,,10703.0,120.32165884971619,,,,,,,,,
39,195.0,98,98,59,,10709.0,120.46851897239685,,,,,,,,,
40,200.0,98,98,60,,10717.0,120.35107493400574,,,,,,,,,
41,205.0,98,98,62,,10722.0,120.32790017127991,,,,,,,,,
42,210.0,98,98,63,,10730.0,120.18268609046936,,,,,,,,,
43,215.0,98,98,67,,10744.0,120.09365200996399,,,,,,,,,
44,220.0,98,98,66,,10745.0,120.09882116317749,,,,,,,,,
45,225.0,98,98,68,max_iterations,10753.0,120.11848306655884,,,,,,,,,
