iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,152,16,1,,32.0,900.004145860672,,,,,,,,,
2,10.0,152,16,3,,48.0,904.35706782341,,,,,,,,,
3,15.0,152,16,4,,62.0,900.0619111061096,,,,,,,,,
4,20.0,152,16,6,,77.0,900.0125699043274,,,,,,,,,
5,25.0,152,16,8,,90.0,901.7786309719086,,,,,,,,,
6,30.0,152,16,10,,102.0,900.4734380245209,,,,,,,,,
7,35.0,152,16,11,,107.0,900.0031251907349,,,,,,,,,
8,40.0,152,16,13,,115.0,900.1678647994995,,,,,,,,,
9,45.0,152,16,15,,123.0,902.6410820484161,,,,,,,,,
10,50.0,152,16,16,all_positive_profit_blocks,127.0,904.4931099414825,,,,,,,,,
