iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,88,26,2,,212.00,0.776076196,0.0,720,0.6797280311584473,,
2,10.0,88,26,3,,380.00,369.853633948,0.0,69528,0.03564000129699707,,
3,15.0,88,26,6,,495.00,600.001022943,0.012966083964911421,186121,0.017093896865844727,,
4,20.0,88,26,8,,575.00,600.001757003,0.018333013337905445,228389,0.08052897453308105,,
5,25.0,88,26,10,,646.00,600.001009918,0.009142341306321083,201705,0.08934187889099121,,
6,30.0,88,26,12,,696.00,183.585191587,0.0,59368,0.016735076904296875,,
7,35.0,88,26,14,,736.00,600.000982886,0.005459678228961821,171781,0.07422304153442383,,
8,40.0,88,26,16,,766.00,600.000887322,0.013876495689197568,203517,0.039031028747558594,,
9,45.0,88,26,18,,797.00,600.00084798,0.011763275158780007,135707,0.014364004135131836,,
10,50.0,88,26,21,,821.00,600.001416283,0.006437446274295105,176760,0.10152196884155273,,
11,55.0,88,26,22,,837.00,600.001051765,0.004786455727278885,160495,0.07999706268310547,,
12,60.0,88,26,23,,849.00,600.00126301,0.0018188937414098923,123862,0.020797014236450195,,
13,65.0,88,26,25,,857.00,144.780218669,0.0,32987,0.12132000923156738,,
14,70.0,88,26,26,all_positive_profit_blocks,861.00,99.855226484,0.0,21298,0.023041963577270508,,
