iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,88,26,2,,208.00,0.257699294,0.0,8,0.5826799869537354,,
2,10.0,88,26,3,,364.00,238.301329737,0.0,98093,0.033952951431274414,,
3,15.0,88,26,6,,475.00,600.001628941,0.012174696808069064,134471,0.0264589786529541,,
4,20.0,88,26,8,,551.00,600.001224538,0.01958240766694489,134461,0.06551980972290039,,
5,25.0,88,26,10,,622.00,600.00146286,0.011895896939421762,126921,0.0665130615234375,,
6,30.0,88,26,12,,672.00,213.094403004,0.0,69799,0.014892101287841797,,
7,35.0,88,26,15,,708.00,600.00141995,0.006558546303875709,144653,0.04442596435546875,,
8,40.0,88,26,16,,737.00,600.000924993,0.014358047434282414,188386,0.06323003768920898,,
9,45.0,88,26,18,,768.00,600.002709799,0.011919096501234277,145489,0.01563882827758789,,
10,50.0,88,26,21,,792.00,600.000927591,0.0065355497044956665,193866,0.11626100540161133,,
11,55.0,88,26,22,,808.00,600.002503361,0.0049067920930021425,141887,0.08940482139587402,,
12,60.0,88,26,23,,820.00,600.004242049,0.0017833678914130735,149676,0.014900922775268555,,
13,65.0,88,26,24,,824.00,600.001057384,0.004854368932038797,48311,0.08080482482910156,,
14,70.0,88,26,26,all_positive_profit_blocks,832.00,31.774391062,0.0,9186,0.02583599090576172,,
