iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,73,27,2,,212.00,0.833175433,0.0,1069,0.5708091259002686,,
2,10.0,73,27,4,,357.00,600.00055522,0.05365375540628837,405473,0.008065938949584961,,
3,15.0,73,27,5,,489.00,600.000508068,0.07153767185809023,350538,0.09930300712585449,,
4,20.0,73,27,7,,614.00,600.000481038,0.014914310874429907,254420,0.009829998016357422,,
5,25.0,73,27,9,,698.00,321.957413265,0.0,185536,0.07925105094909668,,
6,30.0,73,27,11,,755.00,600.000514937,0.01566383798837034,222534,0.01841282844543457,,
7,35.0,73,27,13,,818.00,600.001522653,0.010099827571806852,217706,0.010083913803100586,,
8,40.0,73,27,15,,863.00,600.001227733,0.008726532801466406,228361,0.11222100257873535,,
9,45.0,73,27,17,,893.00,600.002309599,0.013036355382165049,210094,0.01069498062133789,,
10,50.0,73,27,19,,924.00,600.00201305,0.011512159169276621,172492,0.145704984664917,,
11,55.0,73,27,22,,948.00,600.000904282,0.005574582966177417,175291,0.008725166320800781,,
12,60.0,73,27,24,,962.00,600.00293435,0.002113074337463039,229998,0.062203168869018555,,
13,65.0,73,27,24,,970.00,600.003609922,0.004123711340205643,213404,0.012683868408203125,,
14,70.0,73,27,26,,978.00,600.00135541,0.004089979550101831,152295,0.07990312576293945,,
15,75.0,73,27,27,all_positive_profit_blocks,982.00,3.040939433,0.0,1004,0.008769989013671875,,
