iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,phase1Time,noFeasibleSolution,error_message
1,5.0,114,28,2,,228.00,2.557371499,0.0,1878,1.0074989795684814,,
2,10.0,114,28,3,,408.00,220.672415923,0.0,69083,0.045105934143066406,,
3,15.0,114,28,5,,532.00,600.001639979,0.04798892471814999,224586,0.05283212661743164,,
4,20.0,114,28,7,,652.00,600.001094786,0.014732411851399155,169172,0.13402891159057617,,
5,25.0,114,28,9,,743.00,600.001251317,0.007523091157334822,138720,0.05860400199890137,,
6,30.0,114,28,12,,815.00,600.001290238,0.01181192150441822,143434,0.05967283248901367,,
7,35.0,114,28,13,,874.00,600.001365827,0.014789799942974271,158861,0.11111783981323242,,
8,40.0,114,28,16,,931.00,600.00129697,0.008219528333840468,139544,0.08861899375915527,,
9,45.0,114,28,18,,980.00,600.001189752,0.0039007711623945565,122877,0.08186888694763184,,
10,50.0,114,28,20,,1018.00,600.004602108,0.006844235183208112,114911,0.05723309516906738,,
11,55.0,114,28,22,,1049.00,600.001141498,0.007341744266731804,108563,0.09660887718200684,,
12,60.0,114,28,24,,1071.00,600.001594028,0.00238365671553823,117987,0.0621190071105957,,
13,65.0,114,28,26,,1079.00,600.001483773,0.004217287103491399,121881,0.047228097915649414,,
14,70.0,114,28,27,,1091.00,313.332322466,0.0,96134,0.05676889419555664,,
15,75.0,114,28,28,all_positive_profit_blocks,1095.00,3.831156581,0.0,893,0.02311110496520996,,
