iteration,budget_T,num_blocks,num_positive_profit_blocks,num_serviced_blocks,terminal,cost,solverTime,relativeGAP,nodeCount,yLPTime,maxFlowCutsTime,maxFlowCuts,intersectionCutsTime,phase1Time,noFeasibleSolution,error_message
1,5.0,114,10,2,,40.00,122.574378792,0.0,14,184.537707837,1.875173875,2,824.877338047,,,
2,10.0,114,10,3,,84.00,2030.726000577,0.0,1182,35.648437652,58.883649759,407,cached,,,
3,15.0,114,10,5,,114.00,3600.083962847,0.01754385964910742,7710,32.35000258,50.425621419,417,cached,,,
4,20.0,114,10,7,,137.00,3600.209227648,0.014598540145974746,6109,71.57594348,375.344184629,2433,cached,,,
