Nodes: 372
Arcs: 1063
Blocks: 152
UB: 648
LB: 888
Used Time: 85.1028
Used Insecticide: 7234.05
N. Nodes: 6131
Runtime: 3600.19
X: 1 2
X: 2 10
X: 7 23
X: 9 68
X: 10 20
X: 11 183
X: 11 29
X: 18 9
X: 20 18
X: 23 305
X: 25 7
X: 29 11
X: 29 184
X: 31 372
X: 68 130
X: 123 128
X: 128 195
X: 130 150
X: 150 167
X: 167 168
X: 168 172
X: 172 209
X: 183 186
X: 183 11
X: 184 197
X: 184 203
X: 185 187
X: 186 183
X: 186 192
X: 187 186
X: 188 270
X: 189 190
X: 189 194
X: 190 191
X: 190 189
X: 191 270
X: 191 190
X: 192 189
X: 194 185
X: 195 198
X: 197 25
X: 197 184
X: 198 197
X: 201 29
X: 203 201
X: 209 123
X: 270 317
X: 270 191
X: 305 31
X: 317 318
X: 318 188
X: 372 1
Y: 1 5
Y: 1 148
Y: 18 61
Y: 20 14
Y: 20 91
Y: 20 94
Y: 31 15
Y: 31 97
Y: 128 58
Y: 128 59
Y: 128 112
Y: 168 119
Y: 168 120
Y: 172 56
Y: 186 10
Y: 186 11
Y: 186 75
Y: 189 74
Y: 189 79
Y: 190 123
Y: 191 76
Y: 191 87
Y: 192 16
Y: 192 78
Y: 197 21
Y: 197 22
Y: 197 73
Y: 197 124
Y: 209 114
Y: 209 131
Y: 270 77
Y: 270 135
Y: 317 84
Y: 317 85
