Nodes: 372
Arcs: 1063
Blocks: 152
UB: 867
LB: 877
Used Time: 85.5088
Used Insecticide: 7531.86
N. Nodes: 30645
Runtime: 3694.48
X: 1 28
X: 3 162
X: 4 262
X: 13 31
X: 21 210
X: 26 21
X: 27 151
X: 28 27
X: 31 204
X: 33 359
X: 48 53
X: 52 96
X: 53 52
X: 57 297
X: 70 33
X: 77 79
X: 79 137
X: 86 77
X: 96 86
X: 97 113
X: 102 97
X: 113 48
X: 121 180
X: 133 70
X: 136 133
X: 137 136
X: 148 221
X: 151 26
X: 162 3
X: 162 250
X: 172 209
X: 179 249
X: 180 102
X: 182 121
X: 184 182
X: 186 192
X: 187 186
X: 189 187
X: 190 189
X: 191 190
X: 192 193
X: 193 13
X: 196 197
X: 197 184
X: 204 303
X: 209 360
X: 209 172
X: 210 179
X: 217 369
X: 221 369
X: 221 372
X: 249 162
X: 250 296
X: 251 4
X: 252 253
X: 253 349
X: 262 252
X: 267 268
X: 268 315
X: 269 270
X: 270 317
X: 270 191
X: 278 279
X: 279 57
X: 296 278
X: 297 251
X: 303 209
X: 315 269
X: 317 270
X: 349 267
X: 359 148
X: 360 196
X: 369 221
X: 369 217
X: 372 1
Y: 1 148
Y: 3 149
Y: 13 16
Y: 28 5
Y: 31 97
Y: 33 39
Y: 48 99
Y: 48 100
Y: 70 32
Y: 86 116
Y: 96 130
Y: 136 40
Y: 148 117
Y: 151 14
Y: 162 7
Y: 172 119
Y: 179 70
Y: 179 71
Y: 180 49
Y: 180 53
Y: 186 75
Y: 187 74
Y: 191 123
Y: 197 21
Y: 204 131
Y: 210 17
Y: 217 126
Y: 221 66
Y: 249 121
Y: 262 92
Y: 268 69
Y: 269 87
Y: 270 76
Y: 270 77
Y: 296 105
Y: 317 85
Y: 360 114
