case_name,method,eps,tau_eps,reached_eps,size,year,T_max,P_star,T_eps
brkga-notified-limoeiro-3000-2017.txt,BRKGA,0.05,0.3877551020408163,True,3000,2017,245.0,2577.0,95.0
brkga-notified-limoeiro-3000-2017.txt,BRKGA,0.1,0.14285714285714285,True,3000,2017,245.0,2577.0,35.0
brkga-notified-limoeiro-3000-2017.txt,BRKGA,0.2,0.02040816326530612,True,3000,2017,245.0,2577.0,5.0
brkga-notified-limoeiro-3000-2018.txt,BRKGA,0.0,1.0,True,3000,2018,250.0,2656.0,250.0
brkga-notified-limoeiro-3000-2018.txt,BRKGA,0.05,0.4,True,3000,2018,250.0,2656.0,100.0
brkga-notified-limoeiro-3000-2018.txt,BRKGA,0.1,0.14,True,3000,2018,250.0,2656.0,35.0
brkga-notified-limoeiro-3000-2018.txt,BRKGA,0.2,0.02,True,3000,2018,250.0,2656.0,5.0
brkga-notified-limoeiro-3000-2019.txt,BRKGA,0.0,1.0,True,3000,2019,285.0,4280.0,285.0
brkga-notified-limoeiro-3000-2019.txt,BRKGA,0.05,0.2631578947368421,True,3000,2019,285.0,4280.0,75.0
brkga-notified-limoeiro-3000-2019.txt,BRKGA,0.1,0.07017543859649122,True,3000,2019,285.0,4280.0,20.0
brkga-notified-limoeiro-3000-2019.txt,BRKGA,0.2,0.017543859649122806,True,3000,2019,285.0,4280.0,5.0
brkga-notified-limoeiro-3000-2020.txt,BRKGA,0.0,1.0,True,3000,2020,460.0,10822.0,460.0
brkga-notified-limoeiro-3000-2020.txt,BRKGA,0.05,0.14130434782608695,True,3000,2020,460.0,10822.0,65.0
brkga-notified-limoeiro-3000-2020.txt,BRKGA,0.1,0.043478260869565216,True,3000,2020,460.0,10822.0,20.0
brkga-notified-limoeiro-3000-2020.txt,BRKGA,0.2,0.010869565217391304,True,3000,2020,460.0,10822.0,5.0
brkga-notified-limoeiro-3000-2021.txt,BRKGA,0.0,1.0,True,3000,2021,480.0,11529.0,480.0
brkga-notified-limoeiro-3000-2021.txt,BRKGA,0.05,0.14583333333333334,True,3000,2021,480.0,11529.0,70.0
brkga-notified-limoeiro-3000-2021.txt,BRKGA,0.1,0.041666666666666664,True,3000,2021,480.0,11529.0,20.0
brkga-notified-limoeiro-3000-2021.txt,BRKGA,0.2,0.010416666666666666,True,3000,2021,480.0,11529.0,5.0
