instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
68,485,234740,70,120.0,SOL-STATS,54.0,11965.0,17.947500000000005,16990.0,101.94,54,179,392,87,15
69,532,282492,70,120.0,SOL-STATS,50.0,10040.0,15.060000000000002,17472.0,104.83200000000002,50,139,273,37,10
6,114,12882,10,120.0,SOL-STATS,10.0,4699.0,7.048499999999997,5778.0,34.668,10,34,108,17,0
70,532,282492,70,120.0,SOL-STATS,49.0,10483.0,15.724500000000006,17238.0,103.42799999999998,49,174,293,56,3
71,567,320922,75,120.0,SOL-STATS,51.0,11466.0,17.198999999999998,17127.0,102.76199999999999,51,191,364,75,15
72,524,274052,75,120.0,SOL-STATS,52.0,11237.0,16.855499999999992,17187.0,103.122,52,193,359,66,18
73,583,339306,75,120.0,SOL-STATS,51.0,11966.0,17.948999999999998,16984.0,101.90399999999997,51,215,371,83,16
74,598,357006,75,120.0,SOL-STATS,53.0,8130.0,12.195000000000007,17952.0,107.712,53,157,231,26,4
75,552,304152,75,120.0,SOL-STATS,50.0,8498.0,12.747,17865.0,107.18999999999997,50,160,243,26,7
76,601,360600,80,120.0,SOL-STATS,50.0,10292.0,15.438000000000002,17407.0,104.44200000000001,50,187,334,64,8
77,598,357006,80,120.0,SOL-STATS,52.0,11657.0,17.485500000000002,17084.0,102.50399999999999,52,224,378,88,11
78,593,351056,80,120.0,SOL-STATS,52.0,11062.0,16.593000000000004,17222.0,103.33199999999998,52,161,351,56,17
79,542,293222,80,120.0,SOL-STATS,50.0,11444.0,17.165999999999997,17128.0,102.76799999999999,50,181,379,101,21
7,65,4160,10,120.0,SOL-STATS,10.0,5143.0,7.714500000000001,4460.0,26.759999999999998,10,28,93,19,0
80,598,357006,80,120.0,SOL-STATS,51.0,10434.0,15.650999999999996,17378.0,104.26800000000003,51,180,303,56,41
8,80,6320,10,120.0,SOL-STATS,10.0,3974.0,5.9609999999999985,4492.0,26.952000000000005,10,29,109,1,0
9,70,4830,10,120.0,SOL-STATS,10.0,2958.0,4.437000000000001,4381.0,26.285999999999998,10,25,97,2,0
10,125,15500,10,120.0,SOL-STATS,10.0,24404.0,36.606,6127.0,36.76200000000001,10,22,676,61,0
11,155,23870,15,120.0,SOL-STATS,15.0,22733.0,34.099500000000006,7507.0,45.042,15,22,604,28,0
12,138,18906,15,120.0,SOL-STATS,15.0,18928.0,28.39200000000001,7202.0,43.212,15,29,549,80,0
13,256,65280,15,120.0,SOL-STATS,15.0,23099.0,34.6485,7775.0,46.650000000000006,15,53,729,70,2
14,257,65792,15,120.0,SOL-STATS,14.0,21228.0,31.842,13992.0,83.95200000000001,14,38,595,6,0
15,170,28730,15,120.0,SOL-STATS,15.0,23907.0,35.8605,6069.0,36.414,15,44,696,33,0
16,200,39800,20,120.0,SOL-STATS,20.0,24606.0,36.909000000000006,6820.0,40.92,20,58,705,45,0
17,215,46010,20,120.0,SOL-STATS,20.0,24117.0,36.1755,7481.0,44.885999999999996,20,49,654,26,0
18,158,24806,20,120.0,SOL-STATS,20.0,28655.0,42.9825,9384.0,56.304000000000016,20,46,833,105,9
19,192,36672,20,120.0,SOL-STATS,20.0,25029.0,37.5435,10150.0,60.9,20,58,696,39,5
1,25,600,5,120.0,SOL-STATS,5.0,8668.0,13.001999999999999,1207.0,7.242,5,6,236,4,0
20,169,28392,20,120.0,SOL-STATS,20.0,31186.0,46.779,8322.0,49.93200000000001,20,54,848,30,0
21,228,51756,25,120.0,SOL-STATS,25.0,31382.0,47.07299999999999,11438.0,68.628,25,49,909,98,0
