instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
61,515,264710,65,120.0,SOL-STATS,178.0,19957.0,29.935500000000005,13101.0,78.60600000000001,39,123,666,24,2
62,508,257556,65,120.0,SOL-STATS,165.0,19235.0,28.852500000000006,13193.0,79.15800000000002,39,144,636,18,2
63,517,266772,65,120.0,SOL-STATS,176.0,21166.0,31.74900000000001,13229.0,79.37400000000001,39,124,698,23,2
64,513,262656,65,120.0,SOL-STATS,152.0,19477.0,29.215500000000006,13218.0,79.308,39,135,638,19,2
65,533,283556,65,120.0,SOL-STATS,166.0,20351.0,30.5265,13424.0,80.54400000000001,39,136,690,10,2
66,531,281430,70,120.0,SOL-STATS,147.0,19588.0,29.382000000000005,14242.0,85.45200000000001,42,139,642,18,2
67,561,314160,70,120.0,SOL-STATS,171.0,19596.0,29.394000000000005,14096.0,84.576,42,140,661,18,2
68,564,317532,70,120.0,SOL-STATS,158.0,19588.0,29.382000000000005,14242.0,85.45200000000001,42,139,642,18,2
69,534,284622,70,120.0,SOL-STATS,182.0,19588.0,29.382000000000005,14242.0,85.45200000000001,42,139,642,18,2
6,95,8930,10,120.0,SOL-STATS,40.0,27579.0,41.368500000000004,2252.0,13.512000000000002,10,27,881,69,0
70,563,316406,70,120.0,SOL-STATS,168.0,19588.0,29.382000000000005,14242.0,85.45200000000001,42,139,642,18,2
71,611,372710,75,120.0,SOL-STATS,183.0,20282.0,30.423000000000002,14835.0,89.01000000000002,43,148,685,9,2
72,605,365420,75,120.0,SOL-STATS,184.0,20244.0,30.366,14749.0,88.494,42,138,654,22,2
73,607,367842,75,120.0,SOL-STATS,188.0,19297.0,28.94550000000001,14896.0,89.376,44,148,655,10,2
74,607,367842,75,120.0,SOL-STATS,173.0,19297.0,28.94550000000001,14896.0,89.376,44,148,655,10,2
75,607,367842,75,120.0,SOL-STATS,178.0,19297.0,28.94550000000001,14896.0,89.376,44,148,655,10,2
76,665,441560,80,120.0,SOL-STATS,160.0,17411.0,26.116500000000002,15293.0,91.75799999999998,38,139,616,12,2
77,934,871422,80,120.0,SOL-STATS,171.0,17206.0,25.808999999999997,15562.0,93.372,39,141,602,10,2
78,665,441560,80,120.0,SOL-STATS,172.0,17411.0,26.116500000000002,15293.0,91.75799999999998,38,139,616,12,2
79,668,445556,80,120.0,SOL-STATS,168.0,17206.0,25.808999999999997,15562.0,93.372,39,141,602,10,2
7,97,9312,10,120.0,SOL-STATS,42.0,28414.0,42.621,2919.0,17.514000000000003,10,30,842,34,0
80,667,444222,80,120.0,SOL-STATS,179.0,17206.0,25.808999999999997,15562.0,93.372,39,141,602,10,2
8,95,8930,10,120.0,SOL-STATS,50.0,26994.0,40.491,2492.0,14.952000000000002,10,28,857,69,0
9,95,8930,10,120.0,SOL-STATS,32.0,27044.0,40.566,2682.0,16.092,10,29,777,77,0
