budget_bin,mean_gap,std_gap,gap_lo,gap_hi
5.0,0.331547660391057,0.2462164511947973,0.0853312091962597,0.5777641115858543
10.0,0.2817437029103152,0.21844363601751604,0.06330006689279916,0.5001873389278313
15.0,0.24055422962097936,0.1825263284762489,0.05802790114473047,0.4230805580972282
20.0,0.20328880800619625,0.14681167452354651,0.05647713348264974,0.3501004825297428
25.0,0.17592392008283608,0.12111759985133402,0.05480632023150206,0.2970415199341701
30.0,0.15059665304183248,0.09719190007033884,0.053404752971493635,0.24778855311217132
35.0,0.1323959295981486,0.0797701958902454,0.052625733707903216,0.212166125488394
40.0,0.11751363155521914,0.0691080696607899,0.04840556189442924,0.18662170121600904
45.0,0.10270889664551634,0.0599717150888996,0.042737181556616745,0.16268061173441595
50.0,0.09070582515525485,0.052668031444456746,0.03803779371079811,0.1433738565997116
55.0,0.0877956247119952,0.041600010847203384,0.04619561386479182,0.12939563555919859
60.0,0.07891593842229981,0.03429248283243788,0.04462345558986193,0.11320842125473769
65.0,0.07114947844608938,0.02832143828452356,0.042828040161565814,0.09947091673061294
70.0,0.06188737548870124,0.023066274743553074,0.03882110074514816,0.08495365023225432
75.0,0.05597175524270394,0.02105899091686239,0.03491276432584155,0.07703074615956633
80.0,0.050434012572992244,0.020032188771625326,0.03040182380136692,0.07046620134461756
85.0,0.04490517286566324,0.021749494626311174,0.02315567823935207,0.06665466749197442
90.0,0.04658204573213604,0.01442868061097157,0.03215336512116447,0.06101072634310761
95.0,0.04245470406320923,0.013913117959821756,0.028541586103387476,0.05636782202303099
100.0,0.039314716215335395,0.014402748660424547,0.024911967554910847,0.05371746487575994
105.0,0.03937189919014739,0.008220005246777665,0.03115189394336973,0.047591904436925056
110.0,0.036605160157136725,0.007527760263286985,0.02907739989384974,0.04413292042042371
115.0,0.033965381771176355,0.006764501692310015,0.02720088007886634,0.04072988346348637
120.0,0.03187912575875815,0.006854918790229929,0.02502420696852822,0.03873404454898808
125.0,0.02928511783710892,0.007270836191312825,0.022014281645796094,0.036555954028421746
130.0,0.026955311654346347,0.008082869062777857,0.018872442591568492,0.0350381807171242
135.0,0.0244934906518447,0.00863725988337013,0.015856230768474568,0.03313075053521483
140.0,0.022533657036608618,0.011355869177519939,0.011177787859088678,0.03388952621412856
145.0,0.02217657624776923,0.010334656353465976,0.011841919894303252,0.0325112326012352
150.0,0.020888325994444554,0.010545060962956494,0.01034326503148806,0.03143338695740105
155.0,0.020942541283258027,0.008885965002368806,0.012056576280889221,0.029828506285626832
160.0,0.019909962212532058,0.009481232059554713,0.010428730152977345,0.029391194272086772
165.0,0.02041082786443122,0.007326566015408874,0.013084261849022345,0.027737393879840096
170.0,0.020700840475447346,0.0036972730666250987,0.017003567408822248,0.024398113542072445
175.0,0.019808078242850705,0.004093043779401566,0.01571503446344914,0.02390112202225227
180.0,0.01868268231313547,0.004235168812656129,0.014447513500479342,0.022917851125791602
185.0,0.017641957105902443,0.0042405080248527245,0.013401449081049718,0.021882465130755167
190.0,0.01637747907058203,0.004478826957431599,0.011898652113150431,0.02085630602801363
195.0,0.015050330986892827,0.005314634741428283,0.009735696245464543,0.02036496572832111
200.0,0.01432123903658696,0.005287330250581868,0.009033908786005091,0.01960856928716883
205.0,0.01381218610674893,0.00502470512724739,0.00878748097950154,0.01883689123399632
210.0,0.01279523037048344,0.0055405099257987474,0.007254720444684693,0.01833574029628219
215.0,0.01162234604337114,0.005857131968242632,0.005765214075128509,0.017479478011613772
220.0,0.01043299793571994,0.006661513896072406,0.003771484039647534,0.017094511831792347
225.0,0.011085058104271057,0.006114973196336326,0.004970084907934731,0.017200031300607384
230.0,0.010272137007609785,0.005645920217646479,0.0046262167899633055,0.015918057225256264
