instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
58,446,198470,60,120.0,SOL-STATS,4.0,1328.0,1.9920000000000009,1651.0,9.906000000000002,4,28,37,9,5
59,482,231842,60,120.0,SOL-STATS,1.0,445.0,0.6675,445.0,2.6700000000000004,1,20,20,2,0
5,50,2450,5,120.0,SOL-STATS,5.0,7744.0,11.616,1723.0,10.338000000000001,5,62,190,46,6
60,458,209306,60,120.0,SOL-STATS,3.0,938.0,1.407,938.0,5.628,3,48,48,13,0
61,495,244530,65,120.0,SOL-STATS,2.0,116.0,0.17400000000000038,667.0,4.002,2,13,13,1,0
62,533,283556,65,120.0,SOL-STATS,5.0,1674.0,2.5109999999999992,2783.0,16.698,5,43,43,5,0
63,450,202050,65,120.0,SOL-STATS,28.0,54150.0,81.22500000000001,9314.0,55.884,28,495,1364,327,301
64,528,278256,65,120.0,SOL-STATS,1.0,233.0,0.3494999999999999,233.0,1.3980000000000001,1,14,14,1,0
65,502,251502,65,120.0,SOL-STATS,3.0,509.0,0.7634999999999996,894.0,5.364,3,18,18,3,0
66,452,203852,70,120.0,SOL-STATS,6.0,953.0,1.4295,1322.0,7.932000000000001,6,38,43,10,8
67,477,227052,70,120.0,SOL-STATS,3.0,1267.0,1.900500000000001,1174.0,7.0440000000000005,3,17,17,5,2
68,485,234740,70,120.0,SOL-STATS,7.0,4677.0,7.015499999999999,3049.0,18.294,7,82,119,23,14
69,532,282492,70,120.0,SOL-STATS,4.0,393.0,0.5894999999999992,1929.0,11.574000000000002,4,14,14,1,0
6,114,12882,10,120.0,SOL-STATS,10.0,18236.0,27.354,5778.0,34.668000000000006,10,308,498,136,111
70,532,282492,70,120.0,SOL-STATS,1.0,233.0,0.3494999999999999,233.0,1.3980000000000001,1,14,14,1,0
71,567,320922,75,120.0,SOL-STATS,1.0,364.0,0.5460000000000003,364.0,2.184,1,13,13,1,0
72,524,274052,75,120.0,SOL-STATS,2.0,829.0,1.2435,578.0,3.468,2,16,17,6,0
73,583,339306,75,120.0,SOL-STATS,12.0,6578.0,9.867000000000004,7499.0,44.994,12,161,188,46,30
