instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs,Components,ComponentsSelection,Profits,Algorithm
55,402,161202,55,120,SOL-STATS,135,45817,68.7255,10909,65.454,31,536,1253,308,284,single,random,random,IP
56,479,228962,60,120,SOL-STATS,161,40501,60.7515,12911,77.466,36,521,1086,274,214,single,random,random,IP
57,450,202050,60,120,SOL-STATS,142,52643,78.9645,9404,56.424,26,480,1170,269,272,single,random,random,IP
58,446,198470,60,120,SOL-STATS,42,4928,7.392,3256,19.536,8,89,130,40,21,single,random,random,IP
59,482,231842,60,120,SOL-STATS,148,47860,71.79,10687,64.122,30,455,1216,334,239,single,random,random,IP
5,50,2450,5,120,SOL-STATS,25,7744,11.616,1723,10.338,5,62,190,46,6,single,random,random,IP
60,458,209306,60,120,SOL-STATS,180,40654,60.981,13104,78.624,39,540,1141,295,226,single,random,random,IP
61,495,244530,65,120,SOL-STATS,5,116,0.174,667,4.002,2,13,13,1,0,single,random,random,IP
62,533,283556,65,120,SOL-STATS,26,1674,2.511,2783,16.698,5,43,43,5,0,single,random,random,IP
63,450,202050,65,120,SOL-STATS,146,45263,67.8945,11546,69.276,30,362,1103,278,217,single,random,random,IP
64,528,278256,65,120,SOL-STATS,5,233,0.3495,233,1.398,1,14,14,1,0,single,random,random,IP
65,502,251502,65,120,SOL-STATS,18,509,0.7635,894,5.364,3,18,18,3,0,single,random,random,IP
66,452,203852,70,120,SOL-STATS,178,48436,72.654,10867,65.202,38,625,1260,303,295,single,random,random,IP
67,477,227052,70,120,SOL-STATS,127,61090,91.635,6960,41.76,24,308,1400,362,317,single,random,random,IP
68,485,234740,70,120,SOL-STATS,166,49147,73.7205,10253,61.518,34,493,1296,317,300,single,random,random,IP
69,532,282492,70,120,SOL-STATS,18,393,0.589499999999999,1929,11.574,4,14,14,1,0,single,random,random,IP
6,114,12882,10,120,SOL-STATS,37,18236,27.354,5778,34.668,10,308,498,136,111,single,random,random,IP
70,532,282492,70,120,SOL-STATS,4,233,0.3495,233,1.398,1,14,14,1,0,single,random,random,IP
71,567,320922,75,120,SOL-STATS,26,872,1.308,2774,16.644,6,31,31,1,0,single,random,random,IP
