Nodes: 372
Arcs: 1063
Blocks: 152
UB: 127
LB: 127
Used Time: 59.2449
Used Insecticide: 3397.28
N. Nodes: 1028
Runtime: 9.2805
X: 1 248
X: 3 256
X: 4 251
X: 6 41
X: 9 18
X: 13 22
X: 17 167
X: 18 17
X: 19 27
X: 22 308
X: 25 305
X: 27 28
X: 28 1
X: 31 13
X: 33 359
X: 34 63
X: 36 83
X: 38 34
X: 41 38
X: 43 366
X: 44 43
X: 45 239
X: 54 119
X: 57 279
X: 63 66
X: 64 153
X: 66 170
X: 78 81
X: 81 86
X: 83 33
X: 86 96
X: 90 54
X: 96 90
X: 97 102
X: 98 97
X: 101 117
X: 102 180
X: 111 157
X: 114 118
X: 117 111
X: 118 36
X: 119 98
X: 121 125
X: 123 209
X: 124 121
X: 125 198
X: 127 129
X: 129 131
X: 131 123
X: 139 78
X: 142 241
X: 143 144
X: 144 147
X: 147 227
X: 148 6
X: 153 9
X: 157 114
X: 161 44
X: 162 3
X: 167 168
X: 168 127
X: 170 223
X: 178 252
X: 179 178
X: 180 207
X: 197 25
X: 198 197
X: 207 124
X: 209 303
X: 212 257
X: 218 101
X: 223 161
X: 226 139
X: 227 226
X: 239 142
X: 241 143
X: 248 357
X: 250 162
X: 251 297
X: 252 262
X: 256 19
X: 257 179
X: 262 4
X: 278 296
X: 279 278
X: 296 250
X: 297 57
X: 303 372
X: 305 31
X: 308 364
X: 309 212
X: 357 64
X: 359 148
X: 364 309
X: 366 45
X: 372 218
Y: 13 16
Y: 28 5
Y: 28 148
Y: 33 39
Y: 57 105
Y: 78 34
Y: 119 100
Y: 123 56
Y: 124 54
Y: 131 119
Y: 162 7
Y: 167 61
Y: 178 69
Y: 178 70
Y: 178 121
Y: 207 49
Y: 209 131
