Nodes: 1212
Arcs: 3497
Blocks: 517
UB: 10560
LB: 10560
Used Time: 141.659
Used Insecticide: 8552.89
N. Nodes: 101005
Runtime: 675.794
X: 6 466
X: 7 8
X: 8 469
X: 9 570
X: 11 39
X: 13 31
X: 19 28
X: 21 475
X: 22 21
X: 28 1126
X: 29 19
X: 31 902
X: 39 449
X: 40 179
X: 47 387
X: 49 133
X: 50 47
X: 54 222
X: 60 371
X: 61 141
X: 62 619
X: 63 759
X: 66 515
X: 70 392
X: 73 74
X: 74 454
X: 80 192
X: 81 80
X: 82 81
X: 84 89
X: 85 814
X: 86 90
X: 89 93
X: 90 92
X: 92 159
X: 93 1049
X: 98 161
X: 99 84
X: 100 99
X: 126 339
X: 127 126
X: 130 54
X: 131 61
X: 133 190
X: 141 268
X: 151 98
X: 153 154
X: 154 156
X: 156 85
X: 158 151
X: 159 158
X: 161 100
X: 173 237
X: 175 173
X: 179 49
X: 184 175
X: 186 184
X: 190 208
X: 192 186
X: 193 209
X: 198 193
X: 202 228
X: 208 715
X: 209 215
X: 215 82
X: 221 326
X: 222 1055
X: 228 130
X: 237 239
X: 239 455
X: 245 11
X: 246 40
X: 252 352
X: 253 252
X: 260 262
X: 261 127
X: 262 360
X: 267 131
X: 268 1147
X: 277 316
X: 279 477
X: 281 198
X: 289 318
X: 290 289
X: 293 290
X: 295 293
X: 299 302
X: 302 295
X: 303 308
X: 306 9
X: 308 221
X: 316 900
X: 317 963
X: 318 927
X: 323 325
X: 324 323
X: 325 349
X: 326 281
X: 329 405
X: 332 762
X: 337 509
X: 339 341
X: 341 70
X: 342 1123
X: 349 915
X: 352 811
X: 354 1118
X: 357 354
X: 360 245
X: 363 267
X: 364 363
X: 368 364
X: 371 368
X: 375 62
X: 377 60
X: 378 484
X: 380 485
X: 381 801
X: 382 384
X: 383 50
X: 384 337
X: 387 375
X: 392 396
X: 396 329
X: 405 407
X: 406 1153
X: 407 406
X: 421 430
X: 430 436
X: 435 503
X: 436 435
X: 449 246
X: 454 261
X: 455 73
X: 465 279
X: 466 812
X: 467 7
X: 468 531
X: 469 468
X: 475 476
X: 476 6
X: 477 533
X: 479 768
X: 482 383
X: 483 482
X: 484 380
X: 485 483
X: 490 479
X: 497 786
X: 503 504
X: 504 703
X: 509 332
X: 515 1122
X: 531 465
X: 533 929
X: 534 299
X: 537 1085
X: 538 537
X: 546 547
X: 547 549
X: 549 1163
X: 570 1089
X: 571 574
X: 572 571
X: 574 306
X: 578 572
X: 619 620
X: 620 621
X: 621 260
X: 628 819
X: 631 830
X: 703 791
X: 711 497
X: 712 711
X: 715 202
X: 751 421
X: 759 377
X: 761 63
X: 762 761
X: 768 382
X: 786 490
X: 789 795
X: 790 789
X: 791 790
X: 795 1044
X: 801 803
X: 803 712
X: 811 357
X: 812 813
X: 813 467
X: 814 86
X: 819 153
X: 821 628
X: 830 1212
X: 900 342
X: 902 29
X: 908 909
X: 909 277
X: 910 1129
X: 915 546
X: 927 324
X: 929 534
X: 930 931
X: 931 538
X: 939 930
X: 942 943
X: 943 1090
X: 963 974
X: 974 975
X: 975 976
X: 976 578
X: 1044 381
X: 1049 631
X: 1055 253
X: 1084 821
X: 1085 1084
X: 1088 317
X: 1089 942
X: 1090 939
X: 1118 22
X: 1122 751
X: 1123 303
X: 1126 1128
X: 1128 910
X: 1129 908
X: 1147 378
X: 1153 66
X: 1163 1088
X: 1212 13
Y: 7 31
Y: 21 496
Y: 29 42
Y: 31 47
Y: 40 104
Y: 70 206
Y: 80 336
Y: 81 337
Y: 84 490
Y: 85 437
Y: 92 77
Y: 92 508
Y: 131 326
Y: 154 96
Y: 158 82
Y: 158 349
Y: 173 361
Y: 173 434
Y: 221 120
Y: 262 32
Y: 262 133
Y: 281 114
Y: 295 158
Y: 295 462
Y: 316 440
Y: 325 382
Y: 342 357
Y: 371 193
Y: 380 388
Y: 396 173
Y: 406 331
Y: 465 497
Y: 509 180
Y: 531 320
Y: 537 140
Y: 570 503
Y: 574 253
Y: 628 477
Y: 762 66
Y: 762 171
Y: 813 343
Y: 1089 458
