Nodes: 1212
Arcs: 3497
Blocks: 517
UB: 840
LB: 840
Used Time: 124.89
Used Insecticide: 5529.59
N. Nodes: 8922
Runtime: 130.593
X: 6 466
X: 7 8
X: 8 95
X: 10 38
X: 19 37
X: 21 25
X: 25 476
X: 31 35
X: 34 21
X: 35 287
X: 37 902
X: 38 1151
X: 40 246
X: 45 141
X: 48 142
X: 49 179
X: 50 48
X: 54 196
X: 55 688
X: 61 270
X: 62 45
X: 63 761
X: 69 341
X: 70 244
X: 85 88
X: 86 90
X: 87 86
X: 88 627
X: 90 97
X: 92 164
X: 95 816
X: 97 151
X: 126 69
X: 127 126
X: 130 54
X: 135 242
X: 139 40
X: 141 61
X: 142 480
X: 148 828
X: 149 148
X: 151 92
X: 155 1084
X: 163 149
X: 164 163
X: 174 187
X: 176 139
X: 179 176
X: 187 328
X: 196 214
X: 214 49
X: 217 221
X: 219 342
X: 220 327
X: 221 224
X: 224 219
X: 226 228
X: 228 130
X: 236 174
X: 242 266
X: 244 236
X: 246 135
X: 247 226
X: 257 258
X: 258 369
X: 259 7
X: 261 127
X: 264 247
X: 265 264
X: 266 257
X: 270 364
X: 272 265
X: 278 533
X: 281 217
X: 287 315
X: 290 292
X: 292 297
X: 295 302
X: 296 305
X: 297 298
X: 298 301
X: 301 19
X: 302 290
X: 305 570
X: 306 574
X: 310 720
X: 315 321
X: 321 220
X: 327 281
X: 328 1161
X: 334 338
X: 338 63
X: 341 70
X: 342 272
X: 362 370
X: 363 362
X: 364 363
X: 369 454
X: 370 453
X: 376 334
X: 380 383
X: 381 801
X: 383 50
X: 409 417
X: 417 721
X: 421 430
X: 430 1073
X: 453 376
X: 454 261
X: 466 259
X: 476 6
X: 480 689
X: 485 380
X: 486 485
X: 519 409
X: 521 519
X: 533 538
X: 537 278
X: 538 931
X: 539 540
X: 540 295
X: 570 1089
X: 571 572
X: 572 296
X: 573 306
X: 574 571
X: 580 683
X: 581 984
X: 619 62
X: 627 87
X: 635 713
X: 647 1045
X: 648 647
X: 675 873
X: 677 859
X: 680 682
X: 682 853
X: 683 982
X: 687 619
X: 688 687
X: 689 800
X: 711 486
X: 712 711
X: 713 845
X: 720 521
X: 721 1130
X: 761 1212
X: 794 1030
X: 800 10
X: 801 803
X: 803 712
X: 816 85
X: 828 648
X: 845 848
X: 848 849
X: 849 680
X: 853 862
X: 859 581
X: 862 1190
X: 864 675
X: 872 677
X: 873 877
X: 877 878
X: 878 1194
X: 902 31
X: 931 539
X: 942 943
X: 943 155
X: 978 573
X: 982 978
X: 984 580
X: 995 1195
X: 996 421
X: 997 996
X: 1004 1005
X: 1005 997
X: 1030 381
X: 1045 635
X: 1073 995
X: 1084 1085
X: 1085 537
X: 1089 942
X: 1108 55
X: 1130 1004
X: 1151 1108
X: 1161 310
X: 1190 864
X: 1194 872
X: 1195 794
X: 1212 34
Y: 7 31
Y: 21 496
Y: 34 29
Y: 45 326
Y: 63 66
Y: 90 77
Y: 155 458
Y: 164 96
Y: 164 508
Y: 174 102
Y: 179 104
Y: 187 99
Y: 214 92
Y: 265 365
Y: 281 114
Y: 281 120
Y: 292 144
Y: 295 153
Y: 295 462
Y: 342 440
Y: 362 136
Y: 485 388
Y: 533 140
Y: 533 141
Y: 574 446
Y: 627 343
Y: 872 431
