Nodes: 179
Arcs: 499
Blocks: 73
UB: 1056
LB: 1056
Used Time: 56.9664
Used Insecticide: 5041.76
N. Nodes: 171
Runtime: 2.84826
X: 2 7
X: 5 31
X: 6 99
X: 7 76
X: 9 179
X: 11 16
X: 15 70
X: 16 26
X: 20 21
X: 21 131
X: 22 23
X: 23 15
X: 26 27
X: 27 9
X: 28 6
X: 31 34
X: 32 2
X: 34 72
X: 37 42
X: 38 44
X: 39 38
X: 42 49
X: 43 98
X: 44 43
X: 46 39
X: 49 113
X: 52 46
X: 56 52
X: 57 132
X: 60 57
X: 62 173
X: 63 171
X: 70 20
X: 72 22
X: 76 28
X: 90 118
X: 91 90
X: 98 37
X: 99 5
X: 100 138
X: 113 91
X: 117 32
X: 118 117
X: 131 11
X: 132 100
X: 137 62
X: 138 137
X: 139 56
X: 171 139
X: 173 63
X: 179 60
Y: 2 42
Y: 2 58
Y: 7 70
Y: 15 18
Y: 15 19
Y: 16 17
Y: 16 21
Y: 20 20
Y: 22 1
Y: 27 15
Y: 32 71
Y: 34 12
Y: 37 41
Y: 39 28
Y: 42 47
Y: 46 26
Y: 46 61
Y: 49 29
Y: 52 30
Y: 57 62
Y: 60 33
Y: 70 22
Y: 72 72
Y: 91 68
Y: 98 25
Y: 113 31
Y: 171 40
