Nodes: 980
Arcs: 2866
Blocks: 443
UB: 2561
LB: 2561
Used Time: 123.26
Used Insecticide: 8570.54
N. Nodes: 29937
Runtime: 163.795
X: 5 443
X: 6 499
X: 8 724
X: 11 29
X: 19 32
X: 20 19
X: 21 22
X: 22 241
X: 23 451
X: 29 760
X: 31 23
X: 32 31
X: 38 173
X: 47 438
X: 53 55
X: 54 366
X: 55 332
X: 57 371
X: 60 326
X: 62 53
X: 66 62
X: 74 75
X: 75 76
X: 76 276
X: 77 186
X: 78 77
X: 79 78
X: 86 160
X: 87 94
X: 89 87
X: 94 148
X: 123 66
X: 125 425
X: 131 125
X: 145 595
X: 146 145
X: 147 152
X: 148 155
X: 150 154
X: 151 161
X: 152 801
X: 153 151
X: 154 153
X: 155 156
X: 156 86
X: 160 146
X: 161 89
X: 168 230
X: 171 168
X: 173 47
X: 175 185
X: 176 171
X: 177 175
X: 185 955
X: 186 176
X: 188 209
X: 189 188
X: 191 351
X: 192 275
X: 194 189
X: 195 194
X: 200 192
X: 207 191
X: 209 79
X: 229 647
X: 230 384
X: 237 910
X: 240 38
X: 241 258
X: 257 913
X: 258 912
X: 261 263
X: 262 264
X: 263 131
X: 264 261
X: 265 268
X: 266 270
X: 268 257
X: 270 265
X: 272 445
X: 273 452
X: 275 980
X: 276 200
X: 280 813
X: 282 280
X: 285 11
X: 287 289
X: 289 296
X: 291 294
X: 294 285
X: 296 291
X: 298 926
X: 300 541
X: 322 74
X: 326 477
X: 327 918
X: 331 377
X: 332 54
X: 336 266
X: 348 922
X: 350 207
X: 351 348
X: 359 262
X: 360 359
X: 365 57
X: 366 365
X: 367 360
X: 371 662
X: 377 666
X: 378 668
X: 384 643
X: 394 177
X: 425 426
X: 426 240
X: 438 350
X: 442 273
X: 443 698
X: 444 6
X: 445 446
X: 446 899
X: 451 5
X: 452 501
X: 477 331
X: 499 442
X: 501 506
X: 505 272
X: 506 505
X: 537 8
X: 538 539
X: 539 545
X: 540 300
X: 541 538
X: 545 832
X: 547 839
X: 548 840
X: 594 705
X: 595 147
X: 613 752
X: 614 742
X: 615 613
X: 617 619
X: 619 736
X: 642 237
X: 643 642
X: 647 394
X: 662 60
X: 666 378
X: 667 327
X: 668 667
X: 698 699
X: 699 444
X: 705 150
X: 707 594
X: 724 617
X: 736 745
X: 742 548
X: 745 972
X: 752 753
X: 753 614
X: 760 298
X: 800 903
X: 801 800
X: 802 287
X: 803 802
X: 813 956
X: 832 282
X: 834 540
X: 838 834
X: 839 838
X: 840 547
X: 898 707
X: 899 898
X: 903 537
X: 910 229
X: 911 195
X: 912 911
X: 913 21
X: 918 940
X: 922 20
X: 926 336
X: 940 367
X: 955 322
X: 956 803
X: 971 615
X: 972 971
X: 980 123
Y: 23 277
Y: 29 39
Y: 31 21
Y: 32 429
Y: 38 96
Y: 47 84
Y: 60 58
Y: 123 65
Y: 148 69
Y: 151 88
Y: 153 377
Y: 153 439
Y: 155 74
Y: 155 303
Y: 168 94
Y: 176 376
Y: 209 291
Y: 237 118
Y: 262 301
Y: 263 82
Y: 263 128
Y: 266 319
Y: 272 133
Y: 275 106
Y: 275 112
Y: 289 150
Y: 289 401
Y: 294 34
Y: 296 145
Y: 336 311
Y: 336 380
Y: 371 389
Y: 442 23
Y: 445 274
Y: 452 134
Y: 452 383
Y: 501 132
Y: 541 232
Y: 595 413
Y: 614 375
Y: 666 192
Y: 698 297
Y: 800 398
Y: 913 275
