Nodes: 1212
Arcs: 3497
Blocks: 517
UB: 2588
LB: 2588
Used Time: 166.142
Used Insecticide: 8548.48
N. Nodes: 24711
Runtime: 252.266
X: 4 464
X: 5 4
X: 6 476
X: 9 306
X: 11 262
X: 14 18
X: 16 5
X: 18 1102
X: 22 359
X: 23 263
X: 25 33
X: 26 16
X: 30 14
X: 33 248
X: 40 1120
X: 47 379
X: 56 58
X: 58 320
X: 59 62
X: 61 131
X: 62 375
X: 63 332
X: 64 59
X: 65 56
X: 69 65
X: 77 78
X: 78 79
X: 79 282
X: 80 192
X: 81 80
X: 82 81
X: 85 814
X: 86 90
X: 88 85
X: 89 163
X: 90 92
X: 92 151
X: 131 267
X: 133 176
X: 137 133
X: 140 141
X: 141 61
X: 150 827
X: 151 158
X: 153 819
X: 154 156
X: 155 150
X: 156 157
X: 157 153
X: 158 159
X: 159 89
X: 163 164
X: 164 154
X: 173 182
X: 174 181
X: 176 179
X: 177 230
X: 179 40
X: 180 189
X: 181 744
X: 182 177
X: 186 745
X: 189 212
X: 192 186
X: 198 281
X: 201 202
X: 202 715
X: 205 198
X: 206 216
X: 211 215
X: 212 211
X: 215 82
X: 216 205
X: 217 221
X: 221 308
X: 223 1101
X: 230 236
X: 232 180
X: 235 1099
X: 236 174
X: 238 232
X: 242 238
X: 243 395
X: 245 11
X: 248 26
X: 255 354
X: 257 266
X: 259 466
X: 262 361
X: 263 273
X: 265 223
X: 266 242
X: 267 269
X: 269 257
X: 272 276
X: 273 265
X: 275 277
X: 276 275
X: 277 909
X: 278 468
X: 279 278
X: 281 217
X: 282 206
X: 289 318
X: 290 289
X: 293 290
X: 295 293
X: 297 302
X: 298 301
X: 299 298
X: 300 297
X: 301 300
X: 302 295
X: 303 1123
X: 306 574
X: 308 303
X: 310 1161
X: 311 310
X: 313 311
X: 318 545
X: 320 322
X: 322 762
X: 328 77
X: 329 396
X: 332 509
X: 342 272
X: 344 1126
X: 345 477
X: 347 907
X: 354 1118
X: 359 625
X: 361 64
X: 375 387
X: 379 140
X: 381 1030
X: 384 763
X: 385 487
X: 387 47
X: 389 69
X: 392 389
X: 395 392
X: 396 243
X: 411 414
X: 412 1140
X: 413 415
X: 414 413
X: 415 1006
X: 416 1136
X: 418 1135
X: 423 1104
X: 464 255
X: 465 259
X: 466 6
X: 468 531
X: 476 25
X: 477 279
X: 487 767
X: 488 1115
X: 489 1116
X: 493 497
X: 497 786
X: 508 384
X: 509 508
X: 529 313
X: 530 529
X: 531 465
X: 532 922
X: 533 929
X: 534 299
X: 538 533
X: 542 548
X: 545 542
X: 546 532
X: 548 546
X: 571 572
X: 572 1212
X: 574 571
X: 597 598
X: 598 920
X: 624 626
X: 625 624
X: 626 627
X: 627 88
X: 628 821
X: 676 860
X: 680 838
X: 682 680
X: 690 423
X: 691 690
X: 693 691
X: 715 137
X: 729 733
X: 730 412
X: 732 730
X: 733 732
X: 744 235
X: 745 173
X: 761 63
X: 762 761
X: 763 385
X: 767 488
X: 786 787
X: 787 795
X: 793 693
X: 794 1195
X: 795 1044
X: 814 86
X: 819 628
X: 821 1084
X: 827 1089
X: 838 9
X: 853 682
X: 860 1189
X: 862 853
X: 871 676
X: 872 871
X: 892 1007
X: 905 906
X: 906 530
X: 907 905
X: 908 30
X: 909 908
X: 911 345
X: 920 347
X: 921 1097
X: 922 926
X: 924 1039
X: 926 924
X: 929 534
X: 942 943
X: 943 1090
X: 1000 1001
X: 1001 892
X: 1006 1000
X: 1007 1008
X: 1008 1079
X: 1009 1010
X: 1010 1012
X: 1011 1071
X: 1012 1011
X: 1030 794
X: 1039 921
X: 1044 381
X: 1071 1193
X: 1079 1009
X: 1084 155
X: 1089 942
X: 1090 538
X: 1097 597
X: 1099 329
X: 1100 201
X: 1101 1100
X: 1102 23
X: 1104 729
X: 1107 793
X: 1115 489
X: 1116 493
X: 1118 22
X: 1120 245
X: 1123 342
X: 1126 1128
X: 1128 911
X: 1135 411
X: 1136 418
X: 1139 416
X: 1140 1139
X: 1161 328
X: 1189 1190
X: 1190 862
X: 1193 1194
X: 1194 872
X: 1195 1197
X: 1197 1107
X: 1212 344
Y: 4 29
Y: 4 496
Y: 63 66
Y: 85 437
Y: 89 349
Y: 89 490
Y: 92 77
Y: 92 508
Y: 133 92
Y: 141 326
Y: 141 347
Y: 150 458
Y: 154 96
Y: 158 82
Y: 173 434
Y: 174 102
Y: 176 104
Y: 198 114
Y: 215 337
Y: 215 341
Y: 223 365
Y: 243 126
Y: 248 323
Y: 259 31
Y: 269 136
Y: 279 367
Y: 279 497
Y: 281 120
Y: 290 153
Y: 295 158
Y: 295 462
Y: 300 42
Y: 342 440
Y: 488 388
Y: 531 320
Y: 533 140
Y: 572 253
Y: 626 343
Y: 762 171
Y: 763 200
Y: 929 229
Y: 1084 477
Y: 1084 506
